"Station","Date","Time","Interval","Air max","Air max time","Air min","Air min time","Air obs","Air avg","Air2 max","Air2 max time","Air2 min","Air2 min time","Air2 obs","Air2 avg","Air3 max","Air3 max time","Air3 min","Air3 min time","Air3 obs","Air3 avg","RH max","RH max time","RH min","RH min time","RH avg","RH2 max","RH2 max time","RH2 min","RH2 min time","RH2 avg","RH3 max","RH3 max time","RH3 min","RH3 min time","RH3 avg","Soil max","Soil max time","Soil min","Soil min time","Soil obs","Soil avg","Precip","ETo","Solar","Leaf","Leaf2","Leaf3","Wind max dir","Wind max speed","Wind max time","Wind obs dir","Wind obs speed","Wind avg dir","Wind avg speed","Wind ST","Wind run","Battery","Dew pnt","Chill hrs","Hrs 26F","Hrs 28F","Hrs 32F","DD41F","DD41F2","DD41F3","TC DSV","TC DSV2","TC DSV3","HR65TO75FA90RH","HR65TO75FA90RH2","HR65TO75FA90RH3","BEEHOURS","BEESEASON"
Nickels_Soils_Lab.P,20160101,2400,1440,49,14:54,32,22:48, ,39, , , , , , , , , , , , ,62, ,24, ,38, , , , , , , , , , , , , , , , ,0.00,0.07,158, , , ,331,25,10:54, , , , , , , ,15, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160102,2400,1440,48,13:29,35,00:01, ,42, , , , , , , , , , , , ,55, ,30, ,41, , , , , , , , , , , , , , , , ,0.00,0.06,107, , , ,332,17,10:37, , , , , , , ,20, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160103,2400,1440,55,15:03,38,06:39, ,46, , , , , , , , , , , , ,66, ,35, ,49, , , , , , , , , , , , , , , , ,0.00,0.06,147, , , ,341,14,12:05, , , , , , , ,28, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160104,2400,1440,48,02:55,43,08:44, ,45, , , , , , , , , , , , ,92, ,51, ,82, , , , , , , , , , , , , , , , ,0.23,0.02,39, , , ,145,15,22:59, , , , , , , ,40, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160105,2400,1440,52,16:45,44,19:05, ,48, , , , , , , , , , , , ,93, ,69, ,86, , , , , , , , , , , , , , , , ,0.51,0.02,67, , , ,189,30,06:25, , , , , , , ,44, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160106,2400,1440,49,13:12,43,21:58, ,46, , , , , , , , , , , , ,92, ,84, ,90, , , , , , , , , , , , , , , , ,0.72,0.02,35, , , ,161,31,10:17, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160107,2400,1440,51,14:20,37,23:29, ,44, , , , , , , , , , , , ,94, ,66, ,86, , , , , , , , , , , , , , , , ,0.00,0.03,132, , , ,54,14,14:32, , , , , , , ,40, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160108,2400,1440,53,13:04,37,04:55, ,45, , , , , , , , , , , , ,93, ,64, ,82, , , , , , , , , , , , , , , , ,0.05,0.04,180, , , ,314,11,10:23, , , , , , , ,40, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160109,2400,1440,49,13:45,44,07:08, ,46, , , , , , , , , , , , ,93, ,78, ,91, , , , , , , , , , , , , , , , ,0.15,0.02,78, , , ,155,12,10:24, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160110,2400,1440,58,14:53,44,05:17, ,48, , , , , , , , , , , , ,94, ,51, ,81, , , , , , , , , , , , , , , , ,0.00,0.05,211, , , ,320,12,04:04, , , , , , , ,42, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160111,2400,1440,57,14:56,42,02:13, ,48, , , , , , , , , , , , ,91, ,60, ,81, , , , , , , , , , , , , , , , ,0.00,0.04,175, , , ,1,12,13:40, , , , , , , ,42, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160112,2400,1440,54,09:49,42,07:36, ,49, , , , , , , , , , , , ,91, ,64, ,81, , , , , , , , , , , , , , , , ,0.00,0.04,169, , , ,157,21,23:08, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160113,2400,1440,59,12:54,41,23:59, ,52, , , , , , , , , , , , ,92, ,49, ,72, , , , , , , , , , , , , , , , ,0.39,0.06,196, , , ,196,30,03:06, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160114,2400,1440,49,23:47,37,03:14, ,44, , , , , , , , , , , , ,92, ,80, ,88, , , , , , , , , , , , , , , , ,0.12,0.02,59, , , ,150,28,19:04, , , , , , , ,40, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160115,2400,1440,51,15:21,40,07:40, ,46, , , , , , , , , , , , ,94, ,74, ,89, , , , , , , , , , , , , , , , ,0.11,0.02,102, , , ,315,12,01:09, , , , , , , ,43, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
Nickels_Soils_Lab.P,20160116,2400,1440,55,16:23,45,02:12, ,50, , , , , , , , , , , , ,94, ,88, ,92, , , , , , , , , , , , , , , , ,0.43,0.02,66, , , ,161,21,11:31, , , , , , , ,47, ,0.0,0.0,0.0, , , , , , , , , ,0.0, ,
