,STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPressureChange,HourlyRelativeHumidity,HourlyStationPressure,HourlyWindSpeed,cloud cover percentage,is_fire
0,72286903171,20210613125300,93.0,0.0,0.04,14.0,28.99,5.0,0.0,True
1,72286903171,20170929125300,94.0,0.0,0.06,14.0,28.97,11.0,0.0,True
2,72286903171,20210717125300,94.0,0.0,0.05,28.0,29.01,7.0,0.0,False
3,72286903171,20230711125300,99.0,0.0,0.04,16.0,29.04,9.0,0.0,True
4,72286903171,20181218125300,64.0,0.0,0.08,58.0,29.28,3.0,0.875,False
5,72286903171,20170807125300,92.0,0.0,0.04,40.0,29.01,7.0,0.0,True
6,72286903171,20210429125300,96.0,0.0,0.05,7.0,29.18,7.0,0.0,False
7,72286903171,20230419125300,68.0,0.0,0.04,35.0,29.13,8.0,0.0,False
8,72286903171,20160702125300,89.0,0.0,0.02,28.0,29.08,7.0,0.0,False
9,72286903171,20230926125300,88.0,0.0,0.07,23.0,29.06,7.0,0.0,True
10,72286903171,20181126125300,75.0,0.0,0.08,9.0,29.19,13.0,0.0,False
11,72286903171,20170601125300,74.0,0.0,0.04,56.0,28.96,11.0,0.0,True
12,72286903171,20180806125300,102.0,0.0,0.06,10.0,28.92,6.0,0.0,True
13,72286903171,20171204125300,64.0,0.0,0.07,12.0,29.06,16.0,0.0,True
14,72286903171,20180819125300,94.0,0.0,0.07,33.0,28.99,6.0,0.0,True
15,72286903171,20161030123000,65.0,0.0,0.0,84.0,29.15,9.0,0.5,False
16,72286903171,20190915125300,99.0,0.0,0.06,12.0,28.96,8.0,0.0,True
17,72286903171,20210628125300,98.0,0.0,0.04,29.0,28.78,11.0,0.0,True
18,72286903171,20231017125300,89.0,0.0,0.07,24.0,28.98,7.0,0.0,True
19,72286903171,20210119125300,65.0,0.0,-0.01,15.0,28.92,11.0,0.0,True
20,72286903171,20200406122400,54.0,7.0,0.0,90.0,29.05,3.0,0.25,False
21,72286903171,20190629125300,90.0,0.0,0.02,23.0,29.09,8.0,0.875,True
22,72286903171,20180409125300,93.0,0.0,0.03,6.0,29.05,9.0,0.0,True
23,72286903171,20200314125300,60.0,0.0,0.02,67.0,29.21,10.0,0.875,False
24,72286903171,20170813125300,94.0,0.0,0.06,21.0,29.0,11.0,0.0,True
25,72286903171,20230727125300,103.0,0.0,0.05,20.0,29.0,7.0,0.0,True
26,72286903171,20180528125300,79.0,0.0,0.06,41.0,29.01,0.0,0.0,True
27,72286903171,20200922125300,92.0,0.0,0.06,18.0,29.08,6.0,0.0,False
28,72286903171,20221004125300,90.0,0.0,0.06,34.0,0.0,13.0,0.0,False
29,72286903171,20170910125400,0.0,0.0,0.0,0.0,28.95,6.0,0.5,True
30,72286903171,20180914125300,96.0,0.0,0.06,12.0,28.92,5.0,0.0,True
31,72286903171,20201202125300,79.0,0.0,0.05,8.0,29.15,8.0,0.0,False
32,72286903171,20170115125300,54.0,0.0,0.06,75.0,29.14,3.0,0.875,False
33,72286903171,20170819125300,88.0,0.0,0.06,39.0,29.02,9.0,0.0,True
34,72286903171,20170713125300,94.0,0.0,0.04,30.0,29.08,7.0,0.0,True
35,72286903171,20160213125300,80.0,0.0,0.07,16.0,29.14,6.0,0.0,False
36,72286903171,20171023125300,100.0,0.0,0.07,8.0,29.17,10.0,0.0,True
37,72286903171,20171218125300,69.0,0.0,0.06,15.0,29.24,3.0,0.0,False
38,72286903171,20230802125300,96.0,0.0,0.04,20.0,29.09,11.0,0.0,True
39,72286903171,20210623124200,90.0,0.0,0.0,29.0,29.01,10.0,0.25,False
40,72286903171,20220625125300,99.0,0.0,0.04,12.0,28.98,9.0,0.0,True
41,72286903171,20200802125300,97.0,0.0,0.03,24.0,29.05,11.0,0.0,True
42,72286903171,20180928125300,88.0,0.0,0.05,39.0,28.95,17.0,0.0,False
43,72286903171,20220205125300,71.0,0.0,0.1,9.0,29.25,8.0,0.0,False
44,72286903171,20230610125300,73.0,0.0,0.03,53.0,29.0,5.0,0.0,True
45,72286903171,20210730125300,98.0,0.0,0.04,20.0,29.0,8.0,0.0,False
46,72286903171,20201129125300,77.0,0.0,0.06,9.0,29.19,3.0,0.0,False
47,72286903171,20170814125300,88.0,0.0,0.06,34.0,28.97,9.0,0.0,True
48,72286903171,20230525125300,70.0,0.0,0.04,46.0,28.98,3.0,0.0,False
49,72286903171,20200518120100,69.0,0.0,0.0,68.0,29.07,18.0,0.875,True
50,72286903171,20171221125300,60.0,0.0,0.0,11.0,29.22,14.0,0.0,True
51,72286903171,20220716125300,99.0,0.0,0.04,30.0,28.97,14.0,0.0,False
52,72286903171,20170616125300,99.0,0.0,0.05,18.0,28.96,6.0,0.0,True
53,72286903171,20160831125300,100.0,0.0,0.04,15.0,28.95,10.0,0.0,False
54,72286903171,20170423125300,83.0,0.0,0.05,30.0,28.94,15.0,0.0,False
55,72286903171,20210518125300,74.0,0.0,0.06,46.0,29.02,7.0,0.0,True
56,72286903171,20170731125300,94.0,0.0,0.07,38.0,29.01,6.0,0.5,True
57,72286903171,20200902125300,90.0,0.0,0.06,33.0,29.05,10.0,0.0,False
58,72286903171,20191102125300,86.0,0.0,0.08,5.0,29.11,5.0,0.0,False
59,72286903171,20180602125300,87.0,0.0,0.05,28.0,29.05,9.0,0.0,True
60,72286903171,20210824125300,89.0,0.0,0.05,28.0,29.01,6.0,0.0,True
61,72286903171,20210601125300,90.0,0.0,0.05,32.0,29.02,9.0,0.0,True
62,72286903171,20220501125300,77.0,0.0,0.03,36.0,28.92,11.0,0.0,False
63,72286903171,20170130125300,75.0,0.0,0.06,21.0,29.25,3.0,0.0,False
64,72286903171,20170223125300,58.0,0.0,0.05,29.0,29.12,5.0,0.0,False
65,72286903171,20161020125300,93.0,0.0,0.08,6.0,29.05,14.0,0.0,False
66,72286903171,20190822125300,93.0,0.0,0.03,25.0,28.88,8.0,0.0,True
67,72286903171,20160816125300,103.0,0.0,0.04,8.0,28.96,10.0,0.0,False
68,72286903171,20171026125300,93.0,0.0,0.06,11.0,28.97,9.0,0.0,True
69,72286903171,20170724125300,78.0,0.0,0.04,60.0,29.02,5.0,0.5,False
70,72286903171,20201119125300,71.0,0.0,0.07,41.0,29.18,7.0,0.0,False
71,72286903171,20190107125300,59.0,0.0,0.09,58.0,29.3,0.0,0.5,False
72,72286903171,20200730125300,100.0,0.0,0.05,15.0,29.02,7.0,0.0,True
73,72286903171,20170613125300,86.0,0.0,0.06,20.0,28.99,5.0,0.0,True
74,72286903171,20180614125300,91.0,0.0,0.04,22.0,28.94,7.0,0.0,True
75,72286903171,20190930125300,73.0,0.0,0.07,34.0,28.96,3.0,0.0,True
76,72286903171,20210501125300,84.0,0.0,0.06,30.0,29.0,14.0,0.0,False
77,72286903171,20221014121400,69.0,0.0,0.0,73.0,28.95,5.0,1.0,False
78,72286903171,20190825125300,96.0,0.0,0.05,26.0,29.04,9.0,0.0,True
79,72286903171,20180422125300,88.0,0.0,0.04,18.0,29.0,15.0,0.0,True
80,72286903171,20180723125300,103.0,0.0,0.06,22.0,29.0,14.0,0.25,True
81,72286903171,20220818125300,95.0,0.0,0.05,21.0,28.99,6.0,0.0,False
82,72286903171,20200731125300,106.0,0.0,0.03,11.0,29.01,8.0,0.0,True
83,72286903171,20190921125300,93.0,0.0,0.08,13.0,28.94,6.0,0.0,True
84,72286903171,20210504125300,90.0,0.0,0.05,24.0,29.0,7.0,0.0,True
85,72286903171,20201128125300,73.0,0.0,0.09,8.0,29.23,9.0,0.0,False
86,72286903171,20160704125300,87.0,0.0,0.05,34.0,29.1,10.0,0.0,False
87,72286903171,20181120125300,72.0,0.0,0.06,19.0,29.1,6.0,0.0,False
88,72286903171,20180719125300,96.0,0.0,0.06,36.0,29.01,13.0,0.25,True
89,72286903171,20221124125300,74.0,0.0,0.06,9.0,29.29,15.0,0.0,False
90,72286903171,20190919125300,82.0,0.0,0.07,38.0,28.95,8.0,0.25,False
91,72286903171,20160125125300,69.0,0.0,0.07,20.0,29.17,14.0,0.0,False
92,72286903171,20210915125300,88.0,0.0,0.08,24.0,28.98,6.0,0.0,False
93,72286903171,20180517125300,76.0,0.0,0.03,36.0,29.05,0.0,0.0,True
94,72286903171,20210620125300,89.0,0.0,-0.0,31.0,28.97,15.0,0.0,True
95,72286903171,20230522125300,80.0,0.0,0.04,51.0,29.01,8.0,0.0,True
96,72286903171,20221227125300,65.0,0.0,0.08,40.0,29.09,6.0,0.25,False
